"Name","abv","year","PriceRetail","Appellation_Region_Name","Varietal_Name","Varietal_WineType_Name","Winemakers_Notes"
"Milbrandt Traditions Merlot 2007",14.2,2007,14.99,"Washington","Merlot","Red Wines","Our 2007 Traditions Merlot features grapes from 12 different sites in the Columbia Valley. The diversity of terroir allows us to create a more balanced and complete wine. We also included small amounts of Cabernet Sauvignon, Malbec and Petite Sirah in the final blend for supplemental aromatics, texture and complexity. The nose combines varietal and regional signatures. It delivers forward fruit flavors of ripe plums, cherries, blueberries, mocha, vanilla and caramel. The palate is plush, soft and generous. This is an elegant, balanced, supple Merlot that pairs well with salmon, smoked meats, BBQ, game, ham, stew and cheeses."
"MacLaren Drouthy Neebors Syrah 2009",14,2009,35,"California","Syrah/Shiraz","Red Wines","Deep Purple color. Layered aromatics: Black Raspberry, Blueberry, Violet, Cedar, Dark Chocolate and hints of Wild Mushroom. Beautifully balanced palate; Black Raspberry, pepper, a hint of Wild Mushroom and Dark Chocolate. Soft tannins and balanced acidity keeps the wine light on it's feet bringing juicy fruits with structure then a beautiful long Dark Chocolate finish."
"Cliff Lede Poetry Stags Leap District Cabernet Sauvignon 2001",14.5,2001,125,"California","Cabernet Sauvignon","Red Wines","Beautiful bottle-aged aromas are revealing themselves: forest floor, sweet tobacco, and leather. There are still hints of the primary blue and black fruits in the mouth framing a classic structure. The 2001 Poetry is really starting to peak at this point. Expect significant amounts of tartrates. Decanting is suggested."
"Tenuta di Biserno Campo di Sasso Insoglio del Cinghiale 2007",14.5,2007,34,"Italy","Other Red Blends","Red Wines","Insoglio del Cinghiale is the foundation wine of Tenuta di Biserno. Its name was inspired by one of the well-known works of Eugenio Cecconi, La caccia al cinghiale nel padule di Burano, which means, the boar shooting in the Burano marsh. Cecconi, a celebrated Italian post-impressionist, was a personal friend of Lodovico Antinori's grandfather, Piero Antinori. Cinghiale is especially meaningful to Tuscans because it has been a staple in the Tuscan diet for centuries, and, not surprisingly, a wonderful match for the rich, robust taste of Insoglio del Cinghiale Intense ruby with flecks of purple. The nose is intensely fruity with a hint of spicy oak and licorice. The palate is balanced and harmonious, with the rich fruit being balanced by ripe, round tannins. Insoglio will gain in complexity as it matures in bottle."
"Gordon Brothers Cabernet Sauvignon 2010",13.8,2010,26.99,"Washington","Cabernet Sauvignon","Red Wines","Black cherry and cranberry, vanilla roasting on an open fire, plum and other exotic aromas all hint at a deep and complex wine. The wine's entry is bright and deceptively soft, hiding the underlying structure of firm fine-grain tannins. Layers of fruit with pleasing notes of toast and chocolate envelop the palate. The finish is lingering and savory, inviting another sip of our 2010 Estate Cabernet Sauvignon. Enjoy!"
"Charles Smith Velvet Devil Merlot 2010",13.5,2010,12.99,"Washington","Merlot","Red Wines","Bright violet-red color extends to primary aromatics revealing chocolate covered cherries and suggestions of smoke and cedar. A purposefully elegant tannin profile puts this Merlot in an entirely new category, providing an ultra-smooth character that will appeal to all palates. Naughty and nice, a true Velvet Devil. Blend: 91% Merlot, 9% Cabernet Sauvignon"
"Hogue Genesis Merlot 2007",14.2,2007,17.99,"Washington","Merlot","Red Wines","Eastern Washington has gained a reputation as an exceptional Merlot-producing region, and this spicy, silky wine is a fine example of the quality of Merlot the region is capable of producing. The Genesis Merlot offers aromas and flavors of wild blueberry and juicy plum with a spicy cinnamon accent. Clean and supple, the wine has a measure of acidity to balance the plush fruit. Pair it with flank steak, veal parmesan or ratatouille."
"Inglenook CASK Cabernet Sauvignon (1.5 Liter Magnum) 2005",14.7,2005,180,"California","Cabernet Sauvignon","Red Wines","The 2005 CASK Cabernet has layers of ripe, red cherries, plum, vanilla, cocoa, and toast. The wine is remarkable now, especially if served with intensely flavored meats or cheeses, but it also can be aged for 10 years or more. This is a monumental vintage for CASK."
"Delas Crozes-Hermitage Le Clos 2009",13,2009,75,"France - Rhone","Syrah/Shiraz","Red Wines","The Crozes-Hermitage Le Clos cuvee has a deep ruby red color, with garnet tinges. The nose shows aromas of stewed black fruit (cassis and blackberries). As it opens up, it reveals hints of leather and game. The palate is perfectly balanced, with a combination of suave delicacy and considerable volume. The finish is lifted by flavors of very ripe black cherries. This wine pairs well with river game, mixed grills and marinated beef or chicken."
"Leonetti Cabernet Sauvignon 2009",14.6,2009,99,"Washington","Cabernet Sauvignon","Red Wines","Dark as night. An absolutely explosive nose of ripe red and black fruits, licorice, coffee, cassis and pine boughs. Palate is gorgeously plush, rich, dense, long, and loaded with fruit. Tannin is smooth and ripe, finish lasts forever. A very flamboyant yet balanced Cabernet. Blend: 88% Cabernet Sauvignon, 7% Merlot, 4% Carmenere, and 1% Malbec"
"Di Majo Norante Ramitello Rosso 2008",13.5,2008,19.99,"Italy","Other Red Blends","Red Wines","This cru is made mainly from a selection of the best Montepulciano and Aglianico grapes grown in the Ramitello vineyard of Campomarino. Full, mellow and velvety wine; with a perfect blend of flavours such as plum, undergrowth and hints of leather and liquorice, deep ruby red in color with violet reflections"
"Rodney Strong Estate Knotty Vines Zinfandel 2010",15,2010,25,"California","Zinfandel","Red Wines","Fresh, bright berry fruit from our heritage Russian River vineyard combined with the ripe peppery jamminess from their Alexander Valley vineyards make for wonderful diversity of flavor, showcasing the best that Zinfandel can offer in one wine. Aging for 16 months in French and American oak enhances the Zinfandel's inherent spicy qualities, while the ebullient fruit of this medium-rich wine suggests enjoyment over many years."
"Parducci Petite Sirah 2007",13.5,2007,10.79,"California","Petite Sirah","Red Wines","Petite Sirah is a Mendocino specialty and Parducci was one of the first wineries to bottle this varietal. Dark ruby in color, with aromas of cherry, blackberry, mint and chocolate, this big red's spicy dark fruit flavors pair well with marinated tri-tip, mushroom risotto, and hearty stews."
"Elio Grasso Barolo Ginestra Vigna Casa Mate (1.5 Liter Magnum) 2007",14.5,2007,170,"Italy","Nebbiolo","Red Wines","The Barolo Ginestra Casa Mate is the expression of a potent vintage, but very elegant at the same time. It is very drinkable; the tannins are already perfectly integrated into the wine. Ginestra Casa Mate shows lots red fruit, silky tannins and floral notes, typical of Ginestra. It is perfect for those who want to enjoy a young Barolo in top form."
"Torres Mas La Plana Cabernet Sauvignon 2008",14,2008,68.99,"Spain","Cabernet Sauvignon","Red Wines","Beautiful, very dark ruby red color with a soft mahogany rim. Exquisite aroma, reminiscent of bilberry and cherry jam, enhanced by toasted notes acquired through aging in oak. The palate reveals an extraordinary dimension, with soft, juicy tannins that hold promise for the wine's future evolution."
"Clos du Mont Olivet Chateauneuf-du-Pape 2009",14,2009,46.99,"France - Rhone","Rhone Red Blends","Red Wines","We selected a total of 13 older barrels for this, our Cuvee Unique this is a wine that bowls you over with its abundant aromatics, its complexity and freshness on the palate and its staying power. A pure, rich ruby in the glass, the wine's aromas suggest incense and warm sandalwood, with notes of espresso and a hint of grilled apricot. Textured and silky, flavors deliver savory black fruits, pepper and soy sauce. A blend of 80% Grenache, 10% Syrah, 6% Mourvedre and 4% Cinsault aged in Mont-Olivet's traditional casks and foudre."
"Ruffino Salute Amico 2008",13.8,2008,16,"Italy","Other Red Blends","Red Wines","60% Cabernet Sauvignon, 40% Sangiovese The grapes for Salute Amico come from vineyards planted on the Tuscan hills, famous for their exceptional grape quality. See: Ruby red Smell: Aromas of cherry and red berries Sip: An easy-to-drink blend that combines the taste of Sangiovese wine with the feel of Cabernet Sauvignon Texture: A smooth velvety finish"
"Haras Estate Carmenere 2010",14.5,2010,12.99,"South America","Carmenere","Red Wines","Dark violet color with ruby reflections. The nose is rich, with aromas of black fruits, like blackcurrants, blended with typical Carmenere spice characteristics. Perfectly balanced on the palate with tannins that are smooth and soft. Blend: 85% Carmenere and 15% Cabernet Sauvignon"
"Paraduxx  2006",14.5,2006,44.99,"California","Other Red Blends","Red Wines","Dense color with a red cherry hue Aromas of plum, chocolate and cherry pie accentuated by hints of violet, clove, cinnamon spice and vanilla bean. Bright red fruit flavors of Bing cherry, strawberry and raspberry, contrasted by dark and compelling layers of blueberry, mocha and molasses. Great structure with smooth, fine tannins, a black pepper mid-palate and long nutmeg and red currant finish. Blend: 64% Zinfandel, 27% Cabernet Sauvignon, 7% Merlot and 2% Cabernet Franc."
"Pecchenino Dolcetto di Dogliani San Luigi 2012",13,2012,21,"Italy","Dolcetto","Red Wines","The color is a ruby red with violet highlights. On the nose it is fruit-forward with notes of currants, raspberries, blackberries and prunes. On the palate, it is well-balanced with sweet tannins and good acidity. Pairs well with appetizers, pastas, white meats, red meats and roasts."
"Byron Santa Maria Pinot Noir 2011",13.5,2011,29,"California","Pinot Noir","Red Wines","The 2011 Santa Maria Valley Pinot Noir displays aromas of dark berry and cherry accented by hints of floral and mineral. The flavor profile has a core of dark berry and dark cherry with hints of earth and brown spices, backed by a smooth, silky and long finish. The wine is styled to highlight the vivid aromas and flavors of the cool-climate fruit, enhanced by careful winemaking. Blend: 100% Pinot Noir"
"Vietti Barolo di Castiglione Falletto 2007",14.5,2007,46.99,"Italy","Nebbiolo","Red Wines","100% Nebbiolo Great paired with a hearty stew, wild game, roasted red meats and cheeses."
"Dancing Bull Zinfandel 2008",14,2008,11.29,"California","Zinfandel","Red Wines","Our 2008 Zinfandel showcases a soft mouthfeel makes this wine both approachable and versatile with plenty of ripe dark fruit flavors of blackberry and black cherry, complemented by bright red fruit flavors of raspberry and strawberry. Spicy notes of black pepper and vanilla add layers which allow the fruit to be the star. Our Zinfandel pairs well with heavier sauced dishes such as braised pork ribs or pasta with a rich, tomato based sauce."
"Castell del Remei Gotim Bru 2009",14,2009,17,"Spain","Tempranillo","Red Wines","Medium-deep cherry red with garnet highlights and dense, persistent legs. Attractive, highly intense aromas: notes of red fruits, raspberries and flowers. Aeration reveals cedar, spicy and smoky notes, anise and red pepper, evoking its time in the cask, plus the slight sweetness of candied fruit and mineral notes. Unctuous and full-bodied. Mature tannins are immediately apparent on the palate and linger in the mouth. Balanced acidity. Long, pleasant finish with hints of cherry sweets. Blend: 35% Tempranillo, 30% Garnacha, 20% Cabernet Sauvignon, 10% Merlot, 5% Syrah"
"Bridlewood Red Blend 175 2012",13.9,2012,13.99,"California","Other Red Blends","Red Wines","Our Blend 175 is a well-balanced expression of the Central Coast region. This full-bodied blend's dark, jammy fruit flavors and rich, soft tannins are framed nicely by notes of sweet oak and end with a graceful, lingering finish."
"d'Arenberg The Derelict Vineyard Grenache 2009",14.5,2009,29,"Australia","Grenache","Red Wines","The nose is an inviting swirl of flowers, spice, earth and red fruits including strawberries and mulberries. The palate is a textural wonderland, slippery graphite then grainy, gritty fruit tannin flows into earthy grip betraying its old-vine concentration. All the while the ripe red fruits dance about, keeping everything fresh and zingy. This is an intense, structured Grenache worthy of aging to build upon its already complex character. This is real Grenache, at its best."
"Il Poggione Brunello di Montalcino 2005",14.5,2005,85,"Italy","Sangiovese","Red Wines","Ruby red with garnet undertones. Very intense, persistent nose of red fruits, marasca cherries, leather, spices and light notes of vanilla. A structured and full-bodied wine with velvety tannins. Shows an excellent freshness that balances the alcohol naturally present. Very long pleasant persistence and great aging potential."
"Chilensis Lazuli 2009",14.4,2009,27.99,"South America","Other Red Blends","Red Wines","Our 2009 Chilensis Lazuli blend stands out for its deep dark ruby-red color. Its intense, complex aromas showcase black fruit such as blackberries and red currants, along with spices that evoke black pepper, bay leaf, and thyme, as well as intense smoke and vanilla from the barrel aging. Lively on the palate, with good volume, a lingering persistence, and an abundance of juicy tannins. This blend makes it mark with its complexity and aromatic harmony. Its structure and elegance make it ideal for pairing with hearty dishes such as spit-roasted lamb, duck and wild boar. Blend: 50% Syrah, 19% Merlot, 14% Cabernet Franc, 8% Carmenere, 5% Malbec, 4% Petit Verdot"
"Dom. du Pere Pape Chateauneuf-du-Pape La Crau de Ma M̬re 2005",14.5,2005,39,"France - Rhone","Rhone Red Blends","Red Wines","Comes from a selection of very old vines located on the Crau. One of the plots was planted after the phylloxera outbreak of 1866. The owners' father named the wine in memory of his mother. Until the 2003 vintage, this cuvee was a blend of 80 % Grenache, 10% Syrah and 10% Mourvedre. Since the 2004 and 2005 vintages more Mourvedre have been used, up to 20%, from younger vines. This cuvee is aged in new foudres for 12-18 months."
"Cantina del Pino Barbaresco 2005",14,2005,54.99,"Italy","Nebbiolo","Red Wines","100% Nebbiolo grapes grown in the hills above Barbaresco. Delicate perfume with aromas of dark cherry and black pepper and a hint of tobacco from a fine cigar. Elegant and full ripe with intense fruit and wonderful structure and balance. Aged two years in oak and one year in the bottle, this wine is drinking very well now and will age for many years."
"Lagaria Syrah-Nero d'Avola 2007",14,2007,10,"Italy","Other Red Blends","Red Wines","Deep ruby red, fruity bouquet reminiscent of blackberry and plum, notes of cigar tobacco. Generous on the palate, with ripe plum and jammy, mouth-filling red fruit flavors, hints of licorice, vanilla and spice. Good structure, abundant soft tannins."
"Williams Selyem Papera Vineyard Zinfandel 2011",14.8,2011,84.99,"California","Zinfandel","Red Wines","The nose exhibits concentrated wild raspberries preserves with dark chocolate and Malabar pepper. The unadulterated wild raspberry jam fills your mouth with hints of roasted cocoa, coffee and fresh black figs. Full and concentrated tannins in the mouth finish broad, lush and maturely creamy. The long cool growing season concentrated this wonderful fruit into mouth watering goodness."
"d'Arenberg Footbolt Shiraz 2008",14.5,2008,19,"Australia","Syrah/Shiraz","Red Wines","The 2008 Footbolt shows off a brooding nose of dark red cherries, rhubarb and cardamon spices, with underlying earthiness. The generous palate is well-structured, with juicy blood plums and mulberries on the mid palate, rounded out by cinnamon spice from seasoned oak and balanced acidity to keep the ripe fruit in check. Firm, powdery tannins provide a memorable finish."
"Montes Folly Syrah 2010",14.5,2010,89,"South America","Syrah/Shiraz","Red Wines","Montes Folly has a strong deep ruby red color. In the nose, the wine is both very intense and elegant with lively blackberries, blueberries and plums with hints of chocolate aromas. On the palate, the wine is layered and dense, showing exceptional complexity and structure, while blackberry, boysenberry, mocha and espresso flavors are supported by velvety and powerful tannins followed by a very long finish. Highly recommended with red meats, rib eye steak, lamb, venison, baby back pork ribs, Filet Mignon with Rich Balsamic Glaze. Montes Folly art is designed by acclaimed illustrator Ralph Steadman and is considered a collector's item as his paintings change at every available vintage. The 2010 label theme is an illustration of an iceberg found in Lake Gray, Torres del Paine, Chilean Patagonia."
"Inglenook Cask Cabernet Sauvignon 2009",14.8,2009,79.99,"California","Cabernet Sauvignon","Red Wines","Pronounced aromas of dried cherries, coffee and fine tobacco precede rich flavors of black fruits and hints of licorice and spice. The weight, density and concentration of the fruit coupled with this vintage's textured tannin layers will allow this vintage to develop additional complexity for years to come. Two hours of decanting is recommended before drinking; 2009 is a perfect vintage for collectors. Blend: 95% Cabernet Sauvignon, 5% Petit Verdot"
"Donkey and Goat Five Thirteen 2012",14.1,2012,35,"California","Rhone Red Blends","Red Wines","The Thirteen Series is our proprietary southern Rhone style blend using up to thirteen of the grape varietals traditional to Chateauneuf-du-Pape, here we have blended five: 45% Grenache + 20% Syrah + 19% Mourvedre + 10% Counoise + 6% Cinsault. This is our most versatile wine that stays on our table most of the year."
"DAOU Vineyards Celestus Red Blend 2007",13.7,2007,40,"California","Other Red Blends","Red Wines","The DAOU 2007 Celestus is a perfect example of what happens when the Rhone and the Bordeaux blends come together to form complex flavors that create a masterpiece. This is the first vintage where Daniel decided to increase the amount of Syrah in our Celestus blend and the result is a wine that has plenty of black fruit, licorice, mint and earth characteristics with great intensity, remarkable purity and a luscious velvety mouth feel with an excellent balance. The Petit Verdot addition helps create a strong mid palate to compensate for the harmony created between the Cabernet and the Syrah. This exquisite wine will drink great for 7 to 10 years."
"Bodegas Izadi Rioja Reserva 2006",13.5,2006,19.99,"Spain","Tempranillo","Red Wines","A modern style Reserva, with deep, comlex flavors and aromas. Produced from 75% Tempranillo, 15% Graciano and 10% Cabernet and Grenache. It is aged 20 months in 60% French oak (coming from the barrels used for Seleccion and Expresion), and 40% American oak. Complex aromas with hints of red berries, smokiness from the fine wood. Flavorfull and velvety in the mouth, well structured and a long elegant finish."
"Ochoa Graciano-Garnacha 2006",13,2006,16.29,"Spain","Grenache","Red Wines","Graciano (50%) and Garnacha (50%). Our Graciano Garnacha is very special due to the unmistakable vividness and aromas of the Graciano variety and the Garnacha's softness and unctuousity, which mixed in barrels. It is made with temperature control and frequent pumping-overs for a best extraction of tannins, aromas and flavours. Remains for four months in new barrel, where it takes place the malolactic fermentation. It's an expressive wine, agreeable for drinking, with sweet tannins and an impressive color, young but with the whole life ahead. In a few words, a new wine style made from ancestral varieties that join tradition and modernity."
"Columbia Crest Horse Heaven Hills Les Chevaux Red 2011",14,2011,17,"Washington","Other Red Blends","Red Wines","Les Chevaux, (French for the horses) is named for the wild horses that once roamed the Horse Heaven Hills. This lively red blend presents aromas and flavors of dark fruit and currant, followed by smooth tannins that lead in to a vibrant finish"
"Sean Minor Four Bears Carneros Pinot Noir 2009",14.5,2009,19,"California","Pinot Noir","Red Wines","Our Carneros Pinot Noir is medium-bodied with cherry, strawberry and plum; surrounded by light toast flavors. On entry, the wine displays blue fruit characters that are balanced with spicy and earthy notes that frame the mid-palate. The vanilla and toast integrates well with the silky round tannins on the lengthy finish."
"Bogle Pinot Noir 2010",13.5,2010,10.99,"California","Pinot Noir","Red Wines","Deeply garnet in color, radiant floral notes perfume the nose, leaving quite a first impression. Silky and smooth on the palate, the wine resonates with wild raspberries and rustic mint. Bright berry and cola tones trip alongside subtle lavender and vanilla, left behind by the impression of our French and American oak barrels. The delicate tannins create a refined, yet lingering finish. Best served with soft, ripe cheeses and unique pates, as well as saucy mushroom dishes, poultry and pork."
